帧ID,数据集,化学式,完整化学式,体系原子数,构型标签,能量_eV,能量_eV_per_atom,力_最大模长_eV_per_A,力_RMS_eV_per_A,体积_Angstrom3,密度_Atom_per_Angstrom3,源文件,帧序号
GST225:00012,GST225,Ge,Ge136,136,Ge,-568.81804,-4.182486,0.407597,0.24557,3810.9675,0.035686,data/MLIP_training_data_DFT_labeled/GST225.xyz,12
GST225:00013,GST225,Ge,Ge64,64,Ge,-267.374864,-4.177732,9.628489,3.330532,1559.7405,0.041032,data/MLIP_training_data_DFT_labeled/GST225.xyz,13
GST225:00014,GST225,Ge,Ge64,64,Ge,-287.047954,-4.485124,0.00098,0.000692,1613.2751,0.039671,data/MLIP_training_data_DFT_labeled/GST225.xyz,14
GST225:00015,GST225,Ge,Ge64,64,Ge,-263.933571,-4.123962,12.351928,3.637044,1642.5808,0.038963,data/MLIP_training_data_DFT_labeled/GST225.xyz,15
GST225:00016,GST225,Ge,Ge8,8,Ge,-32.66027,-4.082534,8.693033,4.719136,195.3501,0.040952,data/MLIP_training_data_DFT_labeled/GST225.xyz,16
GST225:00017,GST225,Ge,Ge16,16,Ge,-68.260318,-4.26627,0.109773,0.077733,310.6613,0.051503,data/MLIP_training_data_DFT_labeled/GST225.xyz,17
GST225:00018,GST225,Ge,Ge8,8,Ge,-31.017413,-3.877177,11.707423,6.885493,191.1449,0.041853,data/MLIP_training_data_DFT_labeled/GST225.xyz,18
GST225:00019,GST225,Ge,Ge8,8,Ge,-29.16938,-3.646172,10.209123,6.782099,166.0191,0.048187,data/MLIP_training_data_DFT_labeled/GST225.xyz,19
GST225:00020,GST225,Ge,Ge4,4,Ge,-16.343333,-4.085833,2.278039,1.828006,79.4969,0.050316,data/MLIP_training_data_DFT_labeled/GST225.xyz,20
GST225:00021,GST225,Ge,Ge24,24,Ge,-104.421515,-4.350896,0.106093,0.095074,519.2297,0.046222,data/MLIP_training_data_DFT_labeled/GST225.xyz,21
GST225:00022,GST225,Ge,Ge16,16,Ge,-69.644867,-4.352804,0.12589,0.125889,350.0473,0.045708,data/MLIP_training_data_DFT_labeled/GST225.xyz,22
GST225:00023,GST225,Ge,Ge8,8,Ge,-31.801283,-3.97516,8.758136,5.87438,180.0476,0.044433,data/MLIP_training_data_DFT_labeled/GST225.xyz,23
GST225:00024,GST225,Ge,Ge64,64,Ge,-258.184467,-4.034132,13.580552,4.865861,1432.8471,0.044666,data/MLIP_training_data_DFT_labeled/GST225.xyz,24
GST225:00025,GST225,Ge,Ge64,64,Ge,-261.098229,-4.07966,12.280294,4.463447,1496.6754,0.042761,data/MLIP_training_data_DFT_labeled/GST225.xyz,25
GST225:00026,GST225,Ge,Ge8,8,Ge,-33.696967,-4.212121,4.421596,2.730261,212.5841,0.037632,data/MLIP_training_data_DFT_labeled/GST225.xyz,26
GST225:00027,GST225,Ge,Ge64,64,Ge,-261.621829,-4.087841,8.769938,3.809899,1411.4342,0.045344,data/MLIP_training_data_DFT_labeled/GST225.xyz,27
GST225:00028,GST225,Ge,Ge16,16,Ge,-64.500434,-4.031277,11.916681,4.610659,370.7204,0.043159,data/MLIP_training_data_DFT_labeled/GST225.xyz,28
GST225:00029,GST225,Ge,Ge8,8,Ge,-32.597943,-4.074743,7.535899,4.217443,173.776,0.046036,data/MLIP_training_data_DFT_labeled/GST225.xyz,29
GST225:00030,GST225,Ge,Ge4,4,Ge,-16.780282,-4.19507,1.374703,1.011247,79.457,0.050342,data/MLIP_training_data_DFT_labeled/GST225.xyz,30
GST225:00031,GST225,Ge,Ge8,8,Ge,-31.691954,-3.961494,6.420751,4.529725,174.024,0.045971,data/MLIP_training_data_DFT_labeled/GST225.xyz,31
GST225:00032,GST225,Ge,Ge64,64,Ge,-267.680234,-4.182504,10.431792,3.311296,1626.8484,0.03934,data/MLIP_training_data_DFT_labeled/GST225.xyz,32
GST225:00033,GST225,Ge,Ge136,136,Ge,-524.204333,-3.854444,12.661109,4.262864,3711.4013,0.036644,data/MLIP_training_data_DFT_labeled/GST225.xyz,33
GST225:00034,GST225,Ge,Ge8,8,Ge,-31.814209,-3.976776,7.301262,4.456456,162.6716,0.049179,data/MLIP_training_data_DFT_labeled/GST225.xyz,34
GST225:00035,GST225,Ge,Ge8,8,Ge,-35.917888,-4.489736,0.0,0.0,188.9669,0.042335,data/MLIP_training_data_DFT_labeled/GST225.xyz,35
GST225:00036,GST225,Ge,Ge8,8,Ge,-35.881223,-4.485153,0.0,0.0,201.6593,0.039671,data/MLIP_training_data_DFT_labeled/GST225.xyz,36
GST225:00037,GST225,Ge,Ge64,64,Ge,-287.344002,-4.48975,5e-06,3e-06,1511.7356,0.042335,data/MLIP_training_data_DFT_labeled/GST225.xyz,37
GST225:00038,GST225,Ge,Ge64,64,Ge,-261.78653,-4.090415,12.052471,4.556252,1507.4608,0.042455,data/MLIP_training_data_DFT_labeled/GST225.xyz,38
GST225:00039,GST225,Ge,Ge64,64,Ge,-264.108459,-4.126695,12.897326,3.570183,1660.3901,0.038545,data/MLIP_training_data_DFT_labeled/GST225.xyz,39
GST225:00040,GST225,Ge,Ge64,64,Ge,-265.589071,-4.149829,7.388735,2.9499,1735.0199,0.036887,data/MLIP_training_data_DFT_labeled/GST225.xyz,40
GST225:00041,GST225,Ge,Ge8,8,Ge,-33.258607,-4.157326,4.268715,2.943348,219.7664,0.036402,data/MLIP_training_data_DFT_labeled/GST225.xyz,41
GST225:00042,GST225,Ge,Ge8,8,Ge,-32.15587,-4.019484,7.669067,4.077493,226.762,0.035279,data/MLIP_training_data_DFT_labeled/GST225.xyz,42
GST225:00043,GST225,Ge,Ge16,16,Ge,-65.516635,-4.09479,5.670815,3.021701,349.1731,0.045823,data/MLIP_training_data_DFT_labeled/GST225.xyz,43
GST225:00044,GST225,Ge,Ge64,64,Ge,-245.58964,-3.837338,16.961372,5.922611,1322.7746,0.048383,data/MLIP_training_data_DFT_labeled/GST225.xyz,44
GST225:00045,GST225,Ge,Ge64,64,Ge,-264.256426,-4.129007,6.874561,3.23438,1681.6549,0.038058,data/MLIP_training_data_DFT_labeled/GST225.xyz,45
GST225:00046,GST225,Ge,Ge64,64,Ge,-264.291149,-4.129549,10.330824,3.634438,1637.7558,0.039078,data/MLIP_training_data_DFT_labeled/GST225.xyz,46
GST225:00047,GST225,Ge,Ge4,4,Ge,-16.787263,-4.196816,0.196229,0.190006,78.0689,0.051237,data/MLIP_training_data_DFT_labeled/GST225.xyz,47
GST225:00048,GST225,Ge,Ge8,8,Ge,-32.597157,-4.074645,5.248145,3.585483,191.3864,0.0418,data/MLIP_training_data_DFT_labeled/GST225.xyz,48
GST225:00049,GST225,Ge,Ge4,4,Ge,-17.89032,-4.47258,0.007087,0.007087,94.9443,0.04213,data/MLIP_training_data_DFT_labeled/GST225.xyz,49
GST225:00050,GST225,Ge,Ge136,136,Ge,-558.094648,-4.103637,11.765818,3.754968,3886.9238,0.034989,data/MLIP_training_data_DFT_labeled/GST225.xyz,50
GST225:00051,GST225,Ge,Ge64,64,Ge,-258.617952,-4.040905,10.074356,4.466542,1431.1765,0.044718,data/MLIP_training_data_DFT_labeled/GST225.xyz,51
GST225:00052,GST225,Ge,Ge8,8,Ge,-34.35414,-4.294267,5.642617,2.835757,182.8255,0.043758,data/MLIP_training_data_DFT_labeled/GST225.xyz,52
GST225:00053,GST225,Ge,Ge64,64,Ge,-279.259857,-4.363435,5e-06,2e-06,1321.6186,0.048425,data/MLIP_training_data_DFT_labeled/GST225.xyz,53
GST225:00054,GST225,Ge,Ge64,64,Ge,-282.887989,-4.420125,0.001699,0.001201,1773.9537,0.036078,data/MLIP_training_data_DFT_labeled/GST225.xyz,54
GST225:00055,GST225,Ge,Ge24,24,Ge,-99.384254,-4.141011,5.859232,2.382868,518.5551,0.046282,data/MLIP_training_data_DFT_labeled/GST225.xyz,55
GST225:00056,GST225,Ge,Ge8,8,Ge,-30.88645,-3.860806,10.995873,5.420422,195.1124,0.041002,data/MLIP_training_data_DFT_labeled/GST225.xyz,56
GST225:00057,GST225,Ge,Ge8,8,Ge,-33.472681,-4.184085,3.109493,2.650724,209.4316,0.038199,data/MLIP_training_data_DFT_labeled/GST225.xyz,57
GST225:00058,GST225,Ge,Ge16,16,Ge,-65.481798,-4.092612,2.609048,1.363342,313.3033,0.051069,data/MLIP_training_data_DFT_labeled/GST225.xyz,58
GST225:00059,GST225,Ge,Ge64,64,Ge,-243.068516,-3.797946,21.027501,6.495354,1324.8708,0.048307,data/MLIP_training_data_DFT_labeled/GST225.xyz,59
GST225:00060,GST225,Ge,Ge64,64,Ge,-262.361408,-4.099397,12.789331,4.373006,1560.0288,0.041025,data/MLIP_training_data_DFT_labeled/GST225.xyz,60
GST225:00061,GST225,Ge,Ge8,8,Ge,-32.742835,-4.092854,3.495004,2.818397,206.8249,0.03868,data/MLIP_training_data_DFT_labeled/GST225.xyz,61
GST225:00062,GST225,Ge,Ge8,8,Ge,-33.103883,-4.137985,4.841005,3.402044,175.976,0.045461,data/MLIP_training_data_DFT_labeled/GST225.xyz,62
GST225:00063,GST225,Ge,Ge64,64,Ge,-261.992446,-4.093632,15.551331,4.615119,1530.3652,0.04182,data/MLIP_training_data_DFT_labeled/GST225.xyz,63
GST225:00064,GST225,Ge,Ge64,64,Ge,-263.442403,-4.116288,14.792451,4.076092,1703.1315,0.037578,data/MLIP_training_data_DFT_labeled/GST225.xyz,64
GST225:00065,GST225,Ge,Ge12,12,Ge,-49.057223,-4.088102,5.483796,2.874693,261.4508,0.045898,data/MLIP_training_data_DFT_labeled/GST225.xyz,65
GST225:00066,GST225,Ge,Ge4,4,Ge,-16.918202,-4.22955,4.367858,3.006112,94.1201,0.042499,data/MLIP_training_data_DFT_labeled/GST225.xyz,66
GST225:00067,GST225,Ge,Ge8,8,Ge,-33.288367,-4.161046,7.074184,4.222167,185.2257,0.043191,data/MLIP_training_data_DFT_labeled/GST225.xyz,67
GST225:00068,GST225,Ge,Ge8,8,Ge,-27.057622,-3.382203,17.888015,9.268933,151.977,0.05264,data/MLIP_training_data_DFT_labeled/GST225.xyz,68
GST225:00069,GST225,Ge,Ge8,8,Ge,-29.614962,-3.70187,10.895201,7.61958,171.0824,0.046761,data/MLIP_training_data_DFT_labeled/GST225.xyz,69
GST225:00070,GST225,Ge,Ge8,8,Ge,-28.468488,-3.558561,14.009522,8.27393,175.3841,0.045614,data/MLIP_training_data_DFT_labeled/GST225.xyz,70
GST225:00071,GST225,Ge,Ge64,64,Ge,-286.541207,-4.477206,4e-06,3e-06,1462.6038,0.043758,data/MLIP_training_data_DFT_labeled/GST225.xyz,71
GST225:00072,GST225,Ge,Ge64,64,Ge,-266.021758,-4.15659,6.251572,2.258554,1863.2459,0.034349,data/MLIP_training_data_DFT_labeled/GST225.xyz,72
GST225:00073,GST225,Ge,Ge8,8,Ge,-33.399709,-4.174964,5.745602,3.64718,195.7172,0.040875,data/MLIP_training_data_DFT_labeled/GST225.xyz,73
GST225:00074,GST225,Ge,Ge16,16,Ge,-66.127573,-4.132973,1.614673,0.781905,311.7335,0.051326,data/MLIP_training_data_DFT_labeled/GST225.xyz,74
GST225:00075,GST225,Ge,Ge8,8,Ge,-32.916076,-4.114509,4.486844,3.180903,164.9578,0.048497,data/MLIP_training_data_DFT_labeled/GST225.xyz,75
GST225:00076,GST225,Ge,Ge8,8,Ge,-33.608812,-4.201101,6.364726,3.506049,200.3306,0.039934,data/MLIP_training_data_DFT_labeled/GST225.xyz,76
GST225:00077,GST225,Ge,Ge64,64,Ge,-262.324851,-4.098826,8.542398,3.449101,1722.7188,0.037151,data/MLIP_training_data_DFT_labeled/GST225.xyz,77
GST225:00078,GST225,Ge,Ge8,8,Ge,-30.987357,-3.87342,7.556269,5.781801,172.0178,0.046507,data/MLIP_training_data_DFT_labeled/GST225.xyz,78
GST225:00079,GST225,Ge,Ge8,8,Ge,-35.624964,-4.45312,1e-06,0.0,176.8185,0.045244,data/MLIP_training_data_DFT_labeled/GST225.xyz,79
GST225:00080,GST225,Ge,Ge8,8,Ge,-35.817537,-4.477192,1e-06,0.0,182.8255,0.043758,data/MLIP_training_data_DFT_labeled/GST225.xyz,80
GST225:00081,GST225,Ge,Ge8,8,Ge,-33.188867,-4.148608,5.177205,3.348232,187.1576,0.042745,data/MLIP_training_data_DFT_labeled/GST225.xyz,81
GST225:00082,GST225,Ge,Ge64,64,Ge,-269.770625,-4.215166,4.508006,2.155554,1728.6681,0.037023,data/MLIP_training_data_DFT_labeled/GST225.xyz,82
GST225:00083,GST225,Ge,Ge8,8,Ge,-34.361945,-4.295243,4.845688,2.712247,188.0618,0.042539,data/MLIP_training_data_DFT_labeled/GST225.xyz,83
GST225:00084,GST225,Ge,Ge64,64,Ge,-255.259241,-3.988426,11.767686,5.003428,1391.2434,0.046002,data/MLIP_training_data_DFT_labeled/GST225.xyz,84
GST225:00085,GST225,Ge,Ge64,64,Ge,-266.852003,-4.169563,10.487591,2.536926,1842.2774,0.03474,data/MLIP_training_data_DFT_labeled/GST225.xyz,85
GST225:00086,GST225,Ge,Ge4,4,Ge,-15.638938,-3.909735,2.055423,1.66611,159.69,0.025049,data/MLIP_training_data_DFT_labeled/GST225.xyz,86
GST225:00087,GST225,Ge,Ge8,8,Ge,-33.336067,-4.167008,4.953114,2.875365,207.1515,0.038619,data/MLIP_training_data_DFT_labeled/GST225.xyz,87
GST225:00088,GST225,Ge,Ge8,8,Ge,-35.585518,-4.44819,0.0,0.0,214.9078,0.037225,data/MLIP_training_data_DFT_labeled/GST225.xyz,88
GST225:00089,GST225,Ge,Ge64,64,Ge,-285.000646,-4.453135,6e-06,3e-06,1414.5487,0.045244,data/MLIP_training_data_DFT_labeled/GST225.xyz,89
GST225:00090,GST225,Ge,Ge64,64,Ge,-269.486008,-4.210719,6.685251,2.959607,1575.4111,0.040624,data/MLIP_training_data_DFT_labeled/GST225.xyz,90
GST225:00091,GST225,Ge,Ge64,64,Ge,-286.095278,-4.470239,0.001955,0.001381,1665.7066,0.038422,data/MLIP_training_data_DFT_labeled/GST225.xyz,91
GST225:00092,GST225,Ge,Ge64,64,Ge,-266.057356,-4.157146,8.195423,3.190997,1632.4815,0.039204,data/MLIP_training_data_DFT_labeled/GST225.xyz,92
GST225:00093,GST225,Ge,Ge8,8,Ge,-35.854597,-4.481825,0.099276,0.088605,191.0519,0.041873,data/MLIP_training_data_DFT_labeled/GST225.xyz,93
GST225:00094,GST225,Ge,Ge136,136,Ge,-539.942499,-3.970165,10.527455,3.002736,3802.6579,0.035764,data/MLIP_training_data_DFT_labeled/GST225.xyz,94
GST225:00095,GST225,Ge,Ge8,8,Ge,-31.030396,-3.8788,7.903354,6.005226,176.1716,0.04541,data/MLIP_training_data_DFT_labeled/GST225.xyz,95
GST225:00096,GST225,Ge,Ge8,8,Ge,-32.493108,-4.061639,7.60192,4.668839,184.8899,0.043269,data/MLIP_training_data_DFT_labeled/GST225.xyz,96
GST225:00097,GST225,Ge,Ge64,64,Ge,-256.896977,-4.014015,15.238553,5.398169,1411.3458,0.045347,data/MLIP_training_data_DFT_labeled/GST225.xyz,97
GST225:00098,GST225,Ge,Ge64,64,Ge,-265.852782,-4.15395,9.678267,3.073529,1629.0694,0.039286,data/MLIP_training_data_DFT_labeled/GST225.xyz,98
GST225:00099,GST225,Ge,Ge4,4,Ge,-16.878288,-4.219572,1.424108,1.055787,77.5555,0.051576,data/MLIP_training_data_DFT_labeled/GST225.xyz,99
GST225:00100,GST225,Ge,Ge4,4,Ge,-16.529493,-4.132373,0.977321,0.7957,75.1112,0.053254,data/MLIP_training_data_DFT_labeled/GST225.xyz,100
GST225:00101,GST225,Ge,Ge4,4,Ge,-15.81832,-3.95458,1.470835,1.370151,153.3011,0.026092,data/MLIP_training_data_DFT_labeled/GST225.xyz,101
GST225:00102,GST225,Ge,Ge4,4,Ge,-16.562114,-4.140528,2.828168,2.042322,76.3255,0.052407,data/MLIP_training_data_DFT_labeled/GST225.xyz,102
GST225:00103,GST225,Ge,Ge8,8,Ge,-33.178132,-4.147266,3.856159,2.933371,218.8254,0.036559,data/MLIP_training_data_DFT_labeled/GST225.xyz,103
GST225:00104,GST225,Ge,Ge8,8,Ge,-34.22661,-4.278326,3.983582,1.892542,221.7443,0.036078,data/MLIP_training_data_DFT_labeled/GST225.xyz,104
GST225:00105,GST225,Ge,Ge64,64,Ge,-253.533441,-3.96146,10.719429,5.052732,1376.2422,0.046503,data/MLIP_training_data_DFT_labeled/GST225.xyz,105
GST225:00106,GST225,Ge,Ge8,8,Ge,-35.324974,-4.415622,1e-06,0.0,170.9446,0.046799,data/MLIP_training_data_DFT_labeled/GST225.xyz,106
GST225:00107,GST225,Ge,Ge8,8,Ge,-33.538583,-4.192323,5.322634,3.772562,195.8485,0.040848,data/MLIP_training_data_DFT_labeled/GST225.xyz,107
GST225:00108,GST225,Ge,Ge64,64,Ge,-282.611995,-4.415812,7e-06,4e-06,1367.5574,0.046799,data/MLIP_training_data_DFT_labeled/GST225.xyz,108
GST225:00109,GST225,Ge,Ge64,64,Ge,-284.686792,-4.448231,0.002214,0.001565,1719.2624,0.037225,data/MLIP_training_data_DFT_labeled/GST225.xyz,109
GST225:00110,GST225,Ge,Ge8,8,Ge,-29.241112,-3.655139,16.651474,9.155371,173.1786,0.046195,data/MLIP_training_data_DFT_labeled/GST225.xyz,110
GST225:00111,GST225,Ge,Ge8,8,Ge,-33.915334,-4.239417,4.523491,2.898369,190.3102,0.042037,data/MLIP_training_data_DFT_labeled/GST225.xyz,111
GST225:00112,GST225,Ge,Ge64,64,Ge,-250.215731,-3.909621,14.779361,5.740871,1349.1359,0.047438,data/MLIP_training_data_DFT_labeled/GST225.xyz,112
GST225:00113,GST225,Ge,Ge64,64,Ge,-269.005489,-4.203211,7.891693,3.228248,1578.5517,0.040543,data/MLIP_training_data_DFT_labeled/GST225.xyz,113
GST225:00114,GST225,Ge,Ge64,64,Ge,-265.091732,-4.142058,9.905204,2.954663,1810.0043,0.035359,data/MLIP_training_data_DFT_labeled/GST225.xyz,114
GST225:00115,GST225,Ge,Ge8,8,Ge,-34.907368,-4.363421,1e-06,0.0,165.2024,0.048425,data/MLIP_training_data_DFT_labeled/GST225.xyz,115
GST225:00116,GST225,Ge,Ge8,8,Ge,-31.732919,-3.966615,11.082112,5.675326,174.7422,0.045782,data/MLIP_training_data_DFT_labeled/GST225.xyz,116
GST225:00117,GST225,Ge,Ge8,8,Ge,-31.862302,-3.982788,5.202931,3.945757,195.2444,0.040974,data/MLIP_training_data_DFT_labeled/GST225.xyz,117
GST225:00118,GST225,Ge,Ge4,4,Ge,-13.343899,-3.335975,13.46129,9.575309,94.4158,0.042366,data/MLIP_training_data_DFT_labeled/GST225.xyz,118
GST225:00119,GST225,Ge,Ge8,8,Ge,-33.598308,-4.199789,3.677793,2.180075,216.8922,0.036885,data/MLIP_training_data_DFT_labeled/GST225.xyz,119
GST225:00120,GST225,Ge,Ge64,64,Ge,-262.338214,-4.099035,14.692066,4.351828,1489.7816,0.042959,data/MLIP_training_data_DFT_labeled/GST225.xyz,120
GST225:00121,GST225,Ge,Ge64,64,Ge,-265.009145,-4.140768,17.036771,3.822875,1682.1935,0.038046,data/MLIP_training_data_DFT_labeled/GST225.xyz,121
GST225:00122,GST225,Ge,Ge8,8,Ge,-35.761923,-4.47024,1e-06,0.0,208.2133,0.038422,data/MLIP_training_data_DFT_labeled/GST225.xyz,122
GST225:00123,GST225,Ge,Ge64,64,Ge,-248.901116,-3.88908,16.055975,5.383388,1336.3994,0.04789,data/MLIP_training_data_DFT_labeled/GST225.xyz,123
GST225:00124,GST225,Ge,Ge12,12,Ge,-49.826766,-4.15223,4.995348,2.659655,258.0403,0.046504,data/MLIP_training_data_DFT_labeled/GST225.xyz,124
GST225:00125,GST225,Ge,Ge8,8,Ge,-31.735073,-3.966884,5.977148,4.607254,185.3275,0.043167,data/MLIP_training_data_DFT_labeled/GST225.xyz,125
GST225:00126,GST225,Ge,Ge8,8,Ge,-33.359093,-4.169887,4.335471,3.176009,195.2379,0.040976,data/MLIP_training_data_DFT_labeled/GST225.xyz,126
GST225:00127,GST225,Ge,Ge8,8,Ge,-34.377814,-4.297227,3.466571,2.246779,206.068,0.038822,data/MLIP_training_data_DFT_labeled/GST225.xyz,127
GST225:00128,GST225,Ge,Ge8,8,Ge,-35.935664,-4.491958,0.0,0.0,195.2444,0.040974,data/MLIP_training_data_DFT_labeled/GST225.xyz,128
GST225:00129,GST225,Ge,Ge64,64,Ge,-259.27458,-4.051165,10.966321,4.355025,1408.6586,0.045433,data/MLIP_training_data_DFT_labeled/GST225.xyz,129
GST225:00130,GST225,Ge,Ge64,64,Ge,-287.48858,-4.492009,0.000667,0.00047,1561.9551,0.040974,data/MLIP_training_data_DFT_labeled/GST225.xyz,130
GST225:00131,GST225,Ge,Ge16,16,Ge,-64.51586,-4.032241,4.258743,2.266497,299.3,0.053458,data/MLIP_training_data_DFT_labeled/GST225.xyz,131
GST225:00132,GST225,Te,Te3,3,Te,-8.967419,-2.98914,1.402309,1.024875,91.0725,0.032941,data/MLIP_training_data_DFT_labeled/GST225.xyz,132
GST225:00133,GST225,Te,Te3,3,Te,-9.362851,-3.12095,0.348712,0.348709,97.6411,0.030725,data/MLIP_training_data_DFT_labeled/GST225.xyz,133
GST225:00134,GST225,Te,Te3,3,Te,-9.310663,-3.103554,0.572639,0.450751,100.3332,0.0299,data/MLIP_training_data_DFT_labeled/GST225.xyz,134
GST225:00135,GST225,Te,Te3,3,Te,-8.98849,-2.996163,1.227038,1.092578,96.5461,0.031073,data/MLIP_training_data_DFT_labeled/GST225.xyz,135
GST225:00136,GST225,Te,Te3,3,Te,-9.009559,-3.003186,1.77494,1.265846,105.861,0.028339,data/MLIP_training_data_DFT_labeled/GST225.xyz,136
GST225:00137,GST225,Te,Te3,3,Te,-9.321517,-3.107172,0.828552,0.677945,107.6603,0.027865,data/MLIP_training_data_DFT_labeled/GST225.xyz,137
GST225:00138,GST225,Te,Te3,3,Te,-9.169392,-3.056464,0.715476,0.641107,103.0268,0.029119,data/MLIP_training_data_DFT_labeled/GST225.xyz,138
GST225:00139,GST225,Te,Te3,3,Te,-9.006658,-3.002219,0.978959,0.734854,96.9977,0.030929,data/MLIP_training_data_DFT_labeled/GST225.xyz,139
GST225:00140,GST225,Te,Te3,3,Te,-9.285832,-3.095277,0.382083,0.382082,114.7752,0.026138,data/MLIP_training_data_DFT_labeled/GST225.xyz,140
GST225:00141,GST225,Te,Te3,3,Te,-9.061398,-3.020466,0.576171,0.434374,116.943,0.025654,data/MLIP_training_data_DFT_labeled/GST225.xyz,141
GST225:00142,GST225,Te,Te3,3,Te,-9.012204,-3.004068,0.701804,0.658251,120.8264,0.024829,data/MLIP_training_data_DFT_labeled/GST225.xyz,142
GST225:00143,GST225,Te,Te54,54,Te,-155.01872,-2.870717,3.998229,2.083142,1676.9026,0.032202,data/MLIP_training_data_DFT_labeled/GST225.xyz,143
GST225:00144,GST225,Te,Te54,54,Te,-158.686269,-2.938635,3.324268,1.798544,1710.7462,0.031565,data/MLIP_training_data_DFT_labeled/GST225.xyz,144
GST225:00145,GST225,Te,Te54,54,Te,-151.099603,-2.798141,9.710805,3.091025,1639.0176,0.032947,data/MLIP_training_data_DFT_labeled/GST225.xyz,145
GST225:00146,GST225,Te,Te54,54,Te,-168.52873,-3.120902,0.334581,0.33451,1757.5398,0.030725,data/MLIP_training_data_DFT_labeled/GST225.xyz,146
GST225:00147,GST225,Te,Te54,54,Te,-157.920873,-2.924461,6.820287,2.301681,1740.9291,0.031018,data/MLIP_training_data_DFT_labeled/GST225.xyz,147
GST225:00148,GST225,Te,Te54,54,Te,-160.140743,-2.965569,8.731666,2.364255,1761.4889,0.030656,data/MLIP_training_data_DFT_labeled/GST225.xyz,148
GST225:00149,GST225,Te,Te54,54,Te,-158.367434,-2.93273,4.38537,1.901139,1763.9623,0.030613,data/MLIP_training_data_DFT_labeled/GST225.xyz,149
GST225:00150,GST225,Te,Te54,54,Te,-160.741636,-2.976697,5.278885,1.838612,1798.7499,0.030021,data/MLIP_training_data_DFT_labeled/GST225.xyz,150
GST225:00151,GST225,Te,Te54,54,Te,-161.670596,-2.9939,2.146642,1.258425,1794.32,0.030095,data/MLIP_training_data_DFT_labeled/GST225.xyz,151
GST225:00152,GST225,Te,Te54,54,Te,-157.974628,-2.925456,7.559258,2.505529,1884.1945,0.028659,data/MLIP_training_data_DFT_labeled/GST225.xyz,152
GST225:00153,GST225,Te,Te54,54,Te,-161.975305,-2.999543,5.120357,1.616083,1979.9022,0.027274,data/MLIP_training_data_DFT_labeled/GST225.xyz,153
GST225:00154,GST225,Te,Te54,54,Te,-167.119342,-3.094803,0.394611,0.383529,2065.954,0.026138,data/MLIP_training_data_DFT_labeled/GST225.xyz,154
GST225:00155,GST225,Te,Te54,54,Te,-162.926783,-3.017163,2.012448,0.861535,2065.954,0.026138,data/MLIP_training_data_DFT_labeled/GST225.xyz,155
GST225:00156,GST225,Te,Te3,3,Te,-9.147157,-3.049052,0.774565,0.600411,94.6051,0.031711,data/MLIP_training_data_DFT_labeled/GST225.xyz,156
GST225:00157,GST225,Te,Te3,3,Te,-9.428995,-3.142998,0.003531,0.003529,105.0944,0.028546,data/MLIP_training_data_DFT_labeled/GST225.xyz,157
