化学式,相,温度,结构文件,密度_Atom_per_Angstrom3,体系原子数,贡献者,HPC来源路径,代表帧来源,功能性
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_18/3-opt/CONTCAR,0.07707,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_18/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_19/3-opt/CONTCAR,0.07703,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_19/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_2/3-opt/CONTCAR,0.07704,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_2/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_20/3-opt/CONTCAR,0.07703,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_20/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_21/3-opt/CONTCAR,0.07707,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_21/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_22/3-opt/CONTCAR,0.07703,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_22/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_23/3-opt/CONTCAR,0.07486,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_23/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_24/3-opt/CONTCAR,0.0748,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_24/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_25/3-opt/CONTCAR,0.07706,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_25/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_26/3-opt/CONTCAR,0.07704,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_26/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_27/3-opt/CONTCAR,0.07443,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_27/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_28/3-opt/CONTCAR,0.07703,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_28/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_29/3-opt/CONTCAR,0.07704,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_29/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_3/3-opt/CONTCAR,0.07704,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_3/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_30/3-opt/CONTCAR,0.07317,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_30/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_31/3-opt/CONTCAR,0.07486,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_31/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_32/3-opt/CONTCAR,0.07706,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_32/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_33/3-opt/CONTCAR,0.07706,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_33/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_34/3-opt/CONTCAR,0.07704,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_34/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_35/3-opt/CONTCAR,0.07486,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_35/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_36/3-opt/CONTCAR,0.07705,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_36/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_37/3-opt/CONTCAR,0.07706,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_37/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_38/3-opt/CONTCAR,0.07482,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_38/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_39/3-opt/CONTCAR,0.07704,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_39/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_4/3-opt/CONTCAR,0.07704,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_4/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_40/3-opt/CONTCAR,0.07705,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_40/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_41/3-opt/CONTCAR,0.077,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_41/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_42/3-opt/CONTCAR,0.07704,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_42/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_43/3-opt/CONTCAR,0.07455,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_43/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_44/3-opt/CONTCAR,0.07702,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_44/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_45/3-opt/CONTCAR,0.07704,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_45/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_46/3-opt/CONTCAR,0.07492,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_46/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_47/3-opt/CONTCAR,0.07703,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_47/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_48/3-opt/CONTCAR,0.07704,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_48/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_49/3-opt/CONTCAR,0.07705,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_49/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_5/3-opt/CONTCAR,0.07704,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_5/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_50/3-opt/CONTCAR,0.07464,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_50/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_6/3-opt/CONTCAR,0.07707,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_6/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_7/3-opt/CONTCAR,0.07482,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_7/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_8/3-opt/CONTCAR,0.07491,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_8/3-opt/CONTCAR,opt-CONTCAR,Others
In16O24,amorphous,300K,yyf/5-O/6-models/STRUCTURE_9/3-opt/CONTCAR,0.0746,40,Yifan Yan,~/yyf/5-O/6-models/STRUCTURE_9/3-opt/CONTCAR,opt-CONTCAR,Others
GaIn15O24,amorphous,300K,yyf/5-O/7-INGAO/1-1/3-opt/CONTCAR,0.07829,40,Yifan Yan,~/yyf/5-O/7-INGAO/1-1/3-opt/CONTCAR,opt-CONTCAR,Others
GaIn15O24,amorphous,300K,yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_1/3-opt/CONTCAR,0.07566,40,Yifan Yan,~/yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_1/3-opt/CONTCAR,opt-CONTCAR,Others
GaIn15O24,amorphous,300K,yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_2/3-opt/CONTCAR,0.07828,40,Yifan Yan,~/yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_2/3-opt/CONTCAR,opt-CONTCAR,Others
GaIn15O24,amorphous,300K,yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_3/3-opt/CONTCAR,0.07828,40,Yifan Yan,~/yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_3/3-opt/CONTCAR,opt-CONTCAR,Others
GaIn15O24,amorphous,300K,yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_4/3-opt/CONTCAR,0.07599,40,Yifan Yan,~/yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_4/3-opt/CONTCAR,opt-CONTCAR,Others
GaIn15O24,amorphous,300K,yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_5/3-opt/CONTCAR,0.07828,40,Yifan Yan,~/yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_5/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_51/3-opt/CONTCAR,0.07645,40,Yifan Yan,~/yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_51/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_52/3-opt/CONTCAR,0.07953,40,Yifan Yan,~/yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_52/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_53/3-opt/CONTCAR,0.07954,40,Yifan Yan,~/yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_53/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_54/3-opt/CONTCAR,0.07954,40,Yifan Yan,~/yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_54/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_55/3-opt/CONTCAR,0.07952,40,Yifan Yan,~/yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_55/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_1/3-opt/CONTCAR,0.07702,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_1/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_10/3-opt/CONTCAR,0.07641,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_10/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_11/3-opt/CONTCAR,0.07704,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_11/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_12/3-opt/CONTCAR,0.07953,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_12/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_13/3-opt/CONTCAR,0.07695,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_13/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_14/3-opt/CONTCAR,0.07631,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_14/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_15/3-opt/CONTCAR,0.07633,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_15/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_16/3-opt/CONTCAR,0.07955,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_16/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_17/3-opt/CONTCAR,0.07958,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_17/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_18x/3-opt/CONTCAR,0.07697,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_18x/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_19/3-opt/CONTCAR,0.07761,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_19/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_2/3-opt/CONTCAR,0.07674,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_2/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_20/3-opt/CONTCAR,0.07961,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_20/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_21/3-opt/CONTCAR,0.07633,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_21/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_22/3-opt/CONTCAR,0.07685,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_22/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_23/3-opt/CONTCAR,0.07693,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_23/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_24/3-opt/CONTCAR,0.07961,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_24/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_25/3-opt/CONTCAR,0.07706,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_25/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_26/3-opt/CONTCAR,0.07669,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_26/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_27/3-opt/CONTCAR,0.07597,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_27/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_28/3-opt/CONTCAR,0.07953,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_28/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_29/3-opt/CONTCAR,0.07705,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_29/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_3/3-opt/CONTCAR,0.07954,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_3/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_30/3-opt/CONTCAR,0.07717,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_30/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_31/3-opt/CONTCAR,0.07733,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_31/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_32/3-opt/CONTCAR,0.07674,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_32/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_33/3-opt/CONTCAR,0.07943,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_33/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_34/3-opt/CONTCAR,0.07964,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_34/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_35/3-opt/CONTCAR,0.07577,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_35/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_36/3-opt/CONTCAR,0.07661,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_36/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_37/3-opt/CONTCAR,0.077,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_37/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_38/3-opt/CONTCAR,0.0795,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_38/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_39/3-opt/CONTCAR,0.07941,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_39/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_4/3-opt/CONTCAR,0.07695,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_4/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_40/3-opt/CONTCAR,0.07955,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_40/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_41/3-opt/CONTCAR,0.07951,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_41/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_42/3-opt/CONTCAR,0.07721,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_42/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_43/3-opt/CONTCAR,0.07964,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_43/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_44/3-opt/CONTCAR,0.07944,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_44/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_45/3-opt/CONTCAR,0.07679,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_45/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_46/3-opt/CONTCAR,0.07963,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_46/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_47/3-opt/CONTCAR,0.07713,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_47/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_48/3-opt/CONTCAR,0.07965,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_48/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_49/3-opt/CONTCAR,0.07652,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_49/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_5/3-opt/CONTCAR,0.07947,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_5/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_50/3-opt/CONTCAR,0.07617,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_50/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_6/3-opt/CONTCAR,0.07692,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_6/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_7/3-opt/CONTCAR,0.07708,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_7/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_8/3-opt/CONTCAR,0.07622,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_8/3-opt/CONTCAR,opt-CONTCAR,Others
Ga2In14O24,amorphous,300K,yyf/5-O/7-INGAO/4-models/STRUCTURE_9/3-opt/CONTCAR,0.07944,40,Yifan Yan,~/yyf/5-O/7-INGAO/4-models/STRUCTURE_9/3-opt/CONTCAR,opt-CONTCAR,Others
Ga8In8O24,amorphous,300K,yyf/5-O/7-INGAO/5-8Ga/3-opt/CONTCAR,0.07647,40,Yifan Yan,~/yyf/5-O/7-INGAO/5-8Ga/3-opt/CONTCAR,opt-CONTCAR,Others
HIn16O24,amorphous,300K,yyf/5-O/7-INGAO/6-1H/3-opt/CONTCAR,0.07771,41,Yifan Yan,~/yyf/5-O/7-INGAO/6-1H/3-opt/CONTCAR,opt-CONTCAR,Others
Ga24In96O180,amorphous,300K,yyf/5-O/7-INGAO/7-300atom/1-20Ga/1-model/3-opt/CONTCAR,0.07307,300,Yifan Yan,~/yyf/5-O/7-INGAO/7-300atom/1-20Ga/1-model/3-opt/CONTCAR,opt-CONTCAR,Others
Ga24In96O179,amorphous,300K,yyf/5-O/7-INGAO/7-300atom/1-20Ga/1-model/8-remove1O/CONTCAR,0.07282,299,Yifan Yan,~/yyf/5-O/7-INGAO/7-300atom/1-20Ga/1-model/8-remove1O/CONTCAR,opt-CONTCAR,Others
Ga24In96O179,amorphous,300K,yyf/5-O/7-INGAO/7-300atom/1-20Ga/1-model/9-move1O/CONTCAR,0.07282,299,Yifan Yan,~/yyf/5-O/7-INGAO/7-300atom/1-20Ga/1-model/9-move1O/CONTCAR,opt-CONTCAR,Others
In31O48Sn,amorphous,300K,yyf/5-O/8-ITO/1-1/6-opt/CONTCAR,0.07272,80,Yifan Yan,~/yyf/5-O/8-ITO/1-1/6-opt/CONTCAR,opt-CONTCAR,Others
In15O24Sn,amorphous,300K,yyf/5-O/8-ITO/2-models/STRUCTURE_1/3-opt/CONTCAR,0.07669,40,Yifan Yan,~/yyf/5-O/8-ITO/2-models/STRUCTURE_1/3-opt/CONTCAR,opt-CONTCAR,Others
In108O180Sn12,amorphous,300K,yyf/5-O/8-ITO/3-300atom/1-10Sn/3-opt/CONTCAR,0.07051,300,Yifan Yan,~/yyf/5-O/8-ITO/3-300atom/1-10Sn/3-opt/CONTCAR,opt-CONTCAR,Others
Ga40In40O160Zn40,amorphous,300K,yyf/5-O/9-IGZO/1-111/3-opt/CONTCAR,0.07322,280,Yifan Yan,~/yyf/5-O/9-IGZO/1-111/3-opt/CONTCAR,opt-CONTCAR,Others
In60O150Zn60,amorphous,300K,yyf/5-O/9-IGZO/2-101/3-opt/CONTCAR,0.07096,270,Yifan Yan,~/yyf/5-O/9-IGZO/2-101/3-opt/CONTCAR,opt-CONTCAR,Others
Ga60In60O180,amorphous,300K,yyf/5-O/9-IGZO/3-110/3-opt/CONTCAR,0.07495,300,Yifan Yan,~/yyf/5-O/9-IGZO/3-110/3-opt/CONTCAR,opt-CONTCAR,Others
Ga6In6O24Zn6,amorphous,300K,yyf/5-O/9-IGZO/4-40atom/3-opt/CONTCAR,0.07876,42,Yifan Yan,~/yyf/5-O/9-IGZO/4-40atom/3-opt/CONTCAR,opt-CONTCAR,Others
